english	german	russian
Gedvydas_Vainauskas	Gedvydas_Vainauskas	
Jukka_Perko	Jukka_Perko	
Fritz_ter_Meer	Fritz_ter_Meer	
1718	1718	1718_год
Choisy-au-Bac	Choisy-au-Bac	Шуази-о-Бак
Croatia	Kroatien	Хорватия
Handicraft	Kunsthandwerk	Народные_художественные_промыслы
Zaporizhia_Oblast	Oblast_Saporischschja	Запорожская_область
St._Maria_ad_Gradus	St._Maria_ad_Gradus_(Köln)	
1858_and_1859_United_States_House_of_Representatives_elections	Wahl_zum_Repräsentantenhaus_der_Vereinigten_Staaten_1858	
Karoo_Supergroup	Karoo-Supergruppe	
July_14	14._Juli	14_июля
Swiss-system_tournament	Schweizer_System	Швейцарская_система
Kálmán_Markovits	Kálmán_Markovits	
	Staatliche_Hochschule_für_Musik_Trossingen	
Symphony_No._8_(Mahler)	8._Sinfonie_(Mahler)	Симфония_№_8_(Малер)
Tegkwitz	Tegkwitz	Тегквиц
Tokyo	Präfektur_Tokio	Токио
Manhattan_School_of_Music	Manhattan_School_of_Music	Манхэттенская_музыкальная_школа
	Otto_Neudert	
Secretary-General_of_the_United_Nations	Generalsekretär_der_Vereinten_Nationen	Генеральный_секретарь_ООН
Lilium_martagon	Türkenbund	Лилия_кудреватая
Etruscan_civilization	Etrusker	Этруски
World_War_II	Zweiter_Weltkrieg	Вторая_мировая_война
1957	1957	1957_год
St._Louis	St._Louis	Сент-Луис
O'Higgins_Region	Región_del_Libertador_General_Bernardo_O’Higgins	Либертадор-Хенераль-Бернардо-О’Хиггинс
	Liste_der_Monuments_historiques_in_Raismes	
Filmmaking	Filmproduktion	Кинопроизводство
Sleeper_Cell_(TV_series)	Sleeper_Cell	Узнай_врага
Théâtre_de_Paris	Théâtre_de_Paris	
Landtag_of_North_Rhine-Westphalia	Landtag_Nordrhein-Westfalen	Ландтаг_Северного_Рейна-Вестфалии
1974	1974	1974_год
Whitley_County,_Indiana	Whitley_County_(Indiana)	Уитли_(округ,_Индиана)
Romanian_Open	ATP_Bukarest	BRD_Năstase_Țiriac_Trophy
	Soziologe	Социолог
Landesliga_Westfalen	Fußball-Landesliga_Westfalen	
Technical_University_of_Berlin	Technische_Universität_Berlin	Берлинский_технический_университет
Klaudia_Jans-Ignacik	Klaudia_Jans-Ignacik	Янс-Игначик,_Клаудиа
	Langelage	
United_Church_of_Christ	United_Church_of_Christ	Объединённая_церковь_Христа
Thorns,_spines,_and_prickles	Dorn_(Botanik)	Колючки
Suez_Canal	Sueskanal	Суэцкий_канал
Email	E-Mail	Электронная_почта
Rudolfov	Rudolfov	
Christoph_Martschinko	Christoph_Martschinko	
	Rödgen_(Störmthal)	
Annual_plant	Einjährige_Pflanze	Однолетние_растения
Ganz_Works	Ganz_(Unternehmen)	
1947_Ice_Hockey_World_Championships	Eishockey-Weltmeisterschaft_1947	Чемпионат_мира_по_хоккею_с_шайбой_1947
Potter_Building	Potter_Building	
1935–36_French_Division_2	Division_2_1935/36	
Mineralogy	Mineralogie	Минералогия
	Joachim_Ulrich_von_Neuhaus	
Cole_County,_Missouri	Cole_County	Коул_(округ)
University_of_Göttingen	Georg-August-Universität_Göttingen	Гёттингенский_университет
Poland	Polen	Польша
Hegumen	Hegumen	Игумен
	Liste_der_Landesstraßen_in_Thüringen_ab_der_L_2000	
Conrad_I_of_Germany	Konrad_I._(Ostfrankenreich)	Конрад_I_(король_Германии)
Chevetogne_Abbey	Abtei_Chevetogne	Аббатство_Шеветонь
	Rudolf_Kalmar_senior	
	Kaarel_Torop	
Arabs	Araber	Арабы
	Versal	
Brain_tumor	Hirntumor	Опухоль_головного_мозга
Karstadt	Karstadt	
Azores	Azoren	Азорские_острова
Detroit_1-8-7	Detroit_1-8-7	Детройт_1-8-7
	Sozialstation	
2013–14_Russian_Premier_League	Premjer-Liga_2013/14	Чемпионат_России_по_футболу_2013/2014
Cieszyn	Cieszyn	Цешин
1970_IIHF_European_U19_Championship	Eishockey-Europameisterschaft_der_U19-Junioren_1970	Чемпионат_Европы_по_хоккею_с_шайбой_среди_юниорских_команд_1970
Communist_Party_of_the_Soviet_Union	Kommunistische_Partei_der_Sowjetunion	Коммунистическая_партия_Советского_Союза
Metrology	Metrologie	Метрология
MIM-23_Hawk	MIM-23_HAWK	MIM-23_Hawk
I-Divisioona	I-divisioona	
Nu_metal	Nu_Metal	Ню-метал
Paul_Bonatz	Paul_Bonatz	
June_3	3._Juni	3_июня
Macaronesia	Makaronesien	Макаронезия
	Evangelische_Theologie	
	Wildwestroman	
Middle_East	Naher_Osten	Средний_Восток
1971	1971	1971_год
Ambivalence	Ambivalenz	Амбивалентность
John_Evan	John_Evan	
	Fichtenhainichen	
China_National_Highway_311	Nationalstraße_311_(China)	Годао_311
4011_Bakharev	(4011)_Bakharev	
Snake	Schlangen	Змеи
Hanau	Hanau	Ханау
Naples	Neapel	Неаполь
	Östliches_Christentum	
2015_World_Rowing_Championships	Ruder-Weltmeisterschaften_2015	Чемпионат_мира_по_академической_гребле_2015
7th_Chess_Olympiad	Schacholympiade_1937	Шахматная_олимпиада_1937
	Bundesstraße_158	
	Christoph_Schnaudigel	
Zionism	Zionismus	Сионизм
Criminal_procedure	Strafprozessrecht	Уголовное_судопроизводство
Partido_Republicano	Partido_Republicano	
Hydropower	Wasserkraft	Гидроэнергия
1953	1953	1953_год
Hawaii	Hawaii	Гавайи
	Gleichnis	Притча
Calvados	Calvados_(Getränk)	Кальвадос_(напиток)
HC_Sparta_Praha	HC_Sparta_Prag	Спарта_(хоккейный_клуб)
Binary_code	Binärcode	Двоичный_код
	Bistum_Meißen	
Bad_Ems	Bad_Ems	Бад-Эмс
Guti_(footballer)	Guti_(Fußballspieler)	Гути
Nana_Ioseliani	Nana_Iosseliani	Иоселиани,_Нана_Михайловна
Southern_Pacific_Transportation_Company	Southern_Pacific_Transportation	Southern_Pacific_Transportation_Company
Canton_of_Beuzeville	Kanton_Beuzeville	Бёзвиль_(кантон)
Superhero	Superheld	Супергерой
Charlottetown	Charlottetown	Шарлоттаун
Florence	Florenz	Флоренция
January_13	13._Januar	13_января
Drainage_basin	Einzugsgebiet	Водосборный_бассейн
HC_Bozen–Bolzano	HC_Bozen	Больцано_(хоккейный_клуб)
Weida_(White_Elster)	Weida_(Weiße_Elster)	Вайда_(река)
Duchy_of_Milan	Herzogtum_Mailand	Миланское_герцогство
	Einer-Kajak	
Rainer_Langhans	Rainer_Langhans	
Paris_Diderot_University	Universität_Paris_VII	Университет_Париж_Дидро
Atlético_Madrid	Atlético_Madrid	Атлетико_Мадрид
	Griffelkunst-Vereinigung_Hamburg	
OGC_Nice	OGC_Nizza	Ницца_(футбольный_клуб)
2018_European_Rowing_Championships	Ruder-Europameisterschaften_2018	Чемпионат_Европы_по_академической_гребле_2018
Metacritic	Metacritic	Metacritic
	Parallel-Riesenslalom	Параллельный_гигантский_слалом
	Recherche	
	Skulptur	
Ivory_Coast	Elfenbeinküste	Кот-д’Ивуар
November_20	20._November	20_ноября
	Route_nationale_158	
	Frankfurter_Hof	
Wrocław	Breslau	Вроцлав
Mandy_Capristo	Mandy_Capristo	
Wolfsberger_AC	Wolfsberger_AC	Вольфсберг_(футбольный_клуб)
New_Union_(Social_Liberals)	Naujoji_sąjunga_(socialliberalai)	Новый_союз_(социал-либералы)
London,_Ontario	London_(Ontario)	Лондон_(Канада)
Premiership_Rugby	English_Premiership	Чемпионат_Англии_по_регби
	PSV_Team_für_Wien	
Bucharest	Bukarest	Бухарест
	Friedenskirche_(Świdnica)	
	Miriam_Höller	
Cold_Case	Cold_Case_–_Kein_Opfer_ist_je_vergessen	Детектив_Раш
Kampfgeschwader_26	Kampfgeschwader_26	
	Bohrbrunnen	
Trivium_(band)	Trivium_(Band)	Trivium
Roman_Rota	Römische_Rota	Трибунал_Священной_Римской_Роты
Narrative_film	Spielfilm	Художественный_фильм
6657_Otukyo	(6657)_Otukyo	
Tino_Costa	Tino_Costa	Коста,_Тино
Terrarium	Terrarium	Террариум
Hoch_Conservatory	Dr._Hoch’s_Konservatorium	Консерватория_Хоха
Schilling_&_Graebner	Schilling_&_Graebner	
Department_of_Conservation_and_Recreation	Department_of_Conservation_and_Recreation_(Massachusetts)	
	Stiftung_Prix_Jeunesse	
Rocket_artillery	Raketenartilleriebataillon	Реактивная_артиллерия
Kırklareli	Kırklareli	Кыркларели
	Mirbesbach	
Nekomata	Nekomata	Нэкомата
	Sportpatent	
Boone_County,_Missouri	Boone_County_(Missouri)	Бун_(округ,_Миссури)
Greyhound_Lines	Greyhound_Lines	Greyhound_Lines
	Zeitzeuge	
Hungary_Davis_Cup_team	Ungarische_Davis-Cup-Mannschaft	
Saxon_Wars	Sachsenkriege_Karls_des_Großen	Саксонские_войны
Svitavy	Svitavy	Свитави
Asthma	Asthma_bronchiale	Бронхиальная_астма
Elena_Kaliská	Elena_Kaliská	Калиска,_Елена
Jesús_López_Cobos	Jesús_López_Cobos	Лопес_Кобос,_Хесус
Ubstadt-Weiher	Ubstadt-Weiher	Убштадт-Вайер
Kelmė_District_Municipality	Rajongemeinde_Kelmė	Кельмеский_район
Animal_sanctuary	Gnadenhof	
Baicheng	Baicheng	Байчэн
Theosophy	Theosophie	Теософия
Professor_Nachtfalter	Professor_Nachtfalter	
KGB_Prison,_Potsdam	Gefängnis_Leistikowstraße	
Sega_CD	Sega_Mega-CD	Sega_Mega-CD
	Hochschullehrer	
	Snowboard-Weltmeisterschaften_2017	Чемпионат_мира_по_сноуборду_2017
	Georgi_Schischkoff	
The_Hague	Den_Haag	Гаага
Voice-over	Voiceover	
Asteroid	Asteroid	Астероид
FC_Red_Bull_Salzburg	FC_Red_Bull_Salzburg	Ред_Булл_(футбольный_клуб,_Зальцбург)
European_Show_Jumping_Championships	Liste_der_Europameister_im_Springreiten	
	Propstei_Berau	
Canachus	Kanachos_aus_Sikyon	Канах
	Hans_Dammann	
Königsberg	Königsberg_(Preußen)	Кёнигсберг
Rheinau_Abbey	Kloster_Rheinau	Аббатство_Райнау
Kintyre	Kintyre_(Halbinsel)	Кинтайр
Jihad	Dschihad	Джихад
	Laubacher_Kantorei	
Arrondissement_of_Bernay	Arrondissement_Bernay	Берне_(округ)
	Michel_Van_Parys	
Waterford_Township,_Clinton_County,_Iowa	Waterford_Township_(Clinton_County,_Iowa)	
Graz	Graz	Грац
Cuxhaven_(district)	Landkreis_Cuxhaven	Куксхафен_(район)
Recitation	Rezitation	
Fief	Lehnswesen	Феод
Hualpén	Hualpén	Уальпен
Ramon_Sinkeldam	Ramon_Sinkeldam	Синкельдам,_Рамон
Kaunas	Kaunas	Каунас
Lee_County,_Illinois	Lee_County_(Illinois)	Ли_(округ,_Иллинойс)
	Stammmutter	
Bologna	Bologna	Болонья
Parish_church	Pfarrkirche	Приходская_церковь
2012–13_Serie_A_(ice_hockey)	Serie_A1_2012/13	
Sierra_County,_California	Sierra_County_(Kalifornien)	Сьерра_(округ,_Калифорния)
1983	1983	1983_год
Sári_Barabás	Sári_Barabás	
Nigeria_national_football_team	Nigerianische_Fußballnationalmannschaft	Сборная_Нигерии_по_футболу
Jacquard_weaving	Jacquardmusterung	Жаккардовая_ткань
The_Penguins_of_Madagascar	Die_Pinguine_aus_Madagascar_(Fernsehserie)	Пингвины_из_Мадагаскара_(мультсериал)
1st_Czech_Republic_Hockey_League	1._Liga_(Tschechien)	
RC_Strasbourg_Alsace	Racing_Straßburg	Страсбур_(футбольный_клуб)
	Foliant	Фолиант
Hamburger_Morgenpost	Hamburger_Morgenpost	
Alberto_Toril	Alberto_Toril	
Mahé_Drysdale	Mahé_Drysdale	Драйсдейл,_Махе
	Großer_Steinbach	
2005_French_Open_–_Men's_Doubles	French_Open_2005/Herrendoppel	Открытый_чемпионат_Франции_по_теннису_2005_в_мужском_парном_разряде
List_of_state_leaders_in_498	Liste_der_Staatsoberhäupter_498	Список_глав_государств_в_498_году
1945	1945	1945_год
Dominikus_Böhm	Dominikus_Böhm	Бём,_Доминик
Ladislaus_of_Salzburg	Wladislaw_von_Schlesien	
Vittorio_Gui	Vittorio_Gui	Гуи,_Витторио
	St._Maria_Königin_(Köln)	
Swansea_University	Swansea_University	Университет_в_Суонси
Given_name	Vorname	Личное_имя
	Hans_Traxler	
Silesia	Schlesien	Силезия
	Bernardus_Hendrikus_Stolte	
	Kommunale_Selbstverwaltung	Местное_самоуправление
Lumpzig	Lumpzig	Лумпциг
Le_comte_Ory	Le_comte_Ory	Граф_Ори
	Teersee	
Kauffmann_olefination	Kauffmann-Olefinierung	
Łagiewniki,_West_Pomeranian_Voivodeship	Łagiewniki_(Resko)	
1672	1672	1672_год
	Niels_Gutschow	
District_7,_Düsseldorf	Stadtbezirk_7_(Düsseldorf)	Округ_07_(Дюссельдорф)
Ilm-Kreis	Ilm-Kreis	Ильм_(район)
	Meisterschule_(Deutschland)	
Kurt_Diemberger	Kurt_Diemberger	Димбергер,_Курт
	Frauenalb	
Katsuya_Eguchi	Katsuya_Eguchi	Эгути,_Кацуя
Collegiate_church	Kollegiatstift	Коллегиальная_церковь
Mannheimer_Akte	Mannheimer_Akte	
Atacama_Region	Región_de_Atacama	Атакама_(область)
United_States_Army_Air_Forces	United_States_Army_Air_Forces	
	Wiener_Stadtmauern	
	Kerbtal	
Landwirtschaftliche_Produktionsgenossenschaft	Landwirtschaftliche_Produktionsgenossenschaft	
Shijiazhuang	Shijiazhuang	Шицзячжуан
Soviet_Union_women's_national_basketball_team	Damen-Basketballnationalmannschaft_der_UdSSR	Женская_сборная_СССР_по_баскетболу
Ephemeris_time	Ephemeridenzeit	Эфемеридное_время
	Polizei-Führungsakademie	
	Synchronsprecher	
Laurens_De_Vreese	Laurens_De_Vreese	Де_Врез,_Лауренс
Ali_Cobrin	Ali_Cobrin	Кобрин,_Эли
Oliver_Widmer	Oliver_Widmer	
Cargo	Frachtgut	Груз
	Regie	
Jean_Gabin	Jean_Gabin	Габен,_Жан
	Kaynaische_Dörfer	
Czech_Extraliga	Extraliga_(Tschechien)	Чешская_экстралига
Basilica_of_Saint_Servatius	Servaasbasiliek_(Maastricht)	Базилика_Святого_Серватия
St._Elizabeth's_Church,_Wrocław	Elisabethkirche_(Breslau)	
	Mein_Herz_in_Afrika	
Capsule_(fruit)	Kapselfrucht	Коробочка
Zagreb	Zagreb	Загреб
Lituanica	Darius_und_Girėnas	Литуаника_(самолёт)
Broadway_theatre	Broadway_(Theater)	Бродвейский_театр
Eurovision_Song_Contest_2004	Eurovision_Song_Contest_2004	Евровидение-2004
Snowboarding_at_the_2010_Winter_Olympics	Olympische_Winterspiele_2010/Snowboard	Сноуборд_на_зимних_Олимпийских_играх_2010
How_to_Succeed_in_Business_Without_Really_Trying_(musical)	How_to_Succeed_in_Business_Without_Really_Trying	Как_преуспеть_в_бизнесе,_ничего_не_делая
Lake_Placid,_New_York	Lake_Placid	Лейк-Плэсид
University_of_Music_and_Theatre_Leipzig	Hochschule_für_Musik_und_Theater_„Felix_Mendelssohn_Bartholdy“_Leipzig	Лейпцигская_высшая_школа_музыки_и_театра
List_of_kings_of_Axum	Liste_der_Könige_von_Aksum	Список_царей_Аксума
	Technologie	
	Schleifkotten	
Prussia	Preußen	Пруссия
	Motoball-Europameisterschaft_2012	
1998_United_States_House_of_Representatives_elections	Wahl_zum_Repräsentantenhaus_der_Vereinigten_Staaten_1998	
Lesser_Poland	Kleinpolen	Малая_Польша
	Schwedische_Botschaft_in_Tallinn	
Marysville,_California	Marysville_(Kalifornien)	
Nicolas_Lebègue	Nicolas_Lebègue	Лебег,_Николя
FC_Bayern_Munich	FC_Bayern_München	Бавария_(футбольный_клуб)
Russia_Davis_Cup_team	Russische_Davis-Cup-Mannschaft	Сборная_России_по_теннису_в_Кубке_Дэвиса
Professor	Professor	Профессор
Nils_Mönkemeyer	Nils_Mönkemeyer	
Towpath	Leinpfad	Бечевник
A_Hologram_for_the_King_(film)	Ein_Hologramm_für_den_König_(Film)	Голограмма_для_короля
Chiguayante	Chiguayante	Чигуаянте
	Hartha_(Schmölln)	
Superposition_principle	Superposition_(Physik)	Принцип_суперпозиции
G40_Shanghai–Xi'an_Expressway	Autobahn_Shanghai–Xi’an	
Monument_historique	Monument_historique	Исторический_памятник_(Франция)
Urs_Egger	Urs_Egger	
	Unitopia_(Begriffsklärung)	
Premio_Paolo_Borciani	Premio_Paolo_Borciani	
1914	1914	1914_год
Tin_whistle	Tin_Whistle	Вистл
August_11	11._August	11_августа
	FC_Lyon	
Rockford,_Illinois	Rockford_(Illinois)	Рокфорд_(Иллинойс)
Peenemünde_Army_Research_Center	Heeresversuchsanstalt_Peenemünde	Полигон_Пенемюнде
	Gerhard_Kettner	
Kingdom_of_Prussia	Königreich_Preußen	Пруссия_(королевство)
Gundobad	Gundobad	Гундобад
Wii	Wii	Wii
William_the_Conqueror	Wilhelm_I._(England)	Вильгельм_I_Завоеватель
	Esprit_(Schiff)	
Uzeyir_Hajibeyov	Üzeyir_Hacıbəyov	Гаджибеков,_Узеир_Абдул-Гусейн_оглы
Rugby_union	Rugby_Union	Регби
The_Hundred_in_the_Hands	The_Hundred_in_the_Hands	
Dixie	Dixieland	Дикси_(юго-восточные_штаты_США)
Top100_Singles	Deutsche_Singlecharts	
Plymouth_Satellite	Plymouth_Satellite	
Metten	Metten	Меттен
Antioquia_Department	Departamento_de_Antioquia	Антьокия
Kreisstraße	Kreisstraße	
	Internodium_(Botanik)	Междоузлие
Piz_Bernina	Piz_Bernina	Бернина_(гора)
January_5	5._Januar	5_января
Rapovce	Rapovce	
Belgium	Belgien	Бельгия
Schönburg_family	Schönburg_(Adelsgeschlecht)	Шёнбурги
Sonny_Simmons	Sonny_Simmons	
1964	1964	1964_год
Frankfurt_Parliament	Frankfurter_Nationalversammlung	Франкфуртское_национальное_собрание
Roman_Catholic_Diocese_of_Hildesheim	Bistum_Hildesheim	Епархия_Хильдесхайма
England	England	Англия
Simone_Signoret	Simone_Signoret	Синьоре,_Симона
	Rainer_Binder-Krieglstein	
Yes_Minister	Yes_Minister	Да,_господин_министр
Governor_(United_States)	Gouverneur_(Vereinigte_Staaten)	
	Winkhaus_(Unternehmen)	
President_of_the_United_States	Präsident_der_Vereinigten_Staaten	Президент_США
Cushion_plant	Polsterpflanze	Подушкообразные_растения
Life-cycle_assessment	Lebenszyklusanalyse	
Gypsy_(musical)	Gypsy_(Musical)	
Pommeau	Pommeau	Поммо
Cardiss_Collins	Cardiss_Collins	
Nanker	Nanker	
	Hybrid	
	Großsteinbach_(Begriffsklärung)	
Talent_agent	Künstleragentur	Букинг
Prince_Alfred_of_Great_Britain	Alfred_von_Großbritannien,_Irland_und_Hannover	Альфред_Великобританский
1840	1840	1840_год
Red_Army	Rote_Armee	Рабоче-крестьянская_Красная_армия
Cologne	Köln	Кёльн
Ondřej_Synek	Ondřej_Synek	Сынек,_Ондржей
	Dorfkirche_Mumsdorf	
Ariel_Kaplan	Ariel_Kaplan	
Cassette_tape	Kompaktkassette	Компакт-кассета
Flute	Flöte	Флейта
	Vainius_(Name)	
	Diplom-Kaufmann	
G12_Hunchun–Ulanhot_Expressway	Autobahn_Hunchun–Ulanhot	
Home_port	Heimathafen	
Tennis_at_the_1992_Summer_Olympics_–_Men's_doubles	Olympische_Sommerspiele_1992/Tennis/Herrendoppel	
1998	1998	1998_год
	Wimmerbach	
1703	1703	1703_год
	Hugo_Eberhard_zu_Münster-Meinhövel	
Marseille	Marseille	Марсель
High-pass_filter	Hochpass	Фильтр_верхних_частот
	VDI-Richtlinie	
Carlos_Betancur	Carlos_Betancur	Бетанкур,_Карлос
	Unisex-Tarif	
	Neupoderschau	
Secularization_(church_property)	Säkularisation	Секуляризация_(история)
	Kammergut	
Schuman-Josaphat_tunnel	Schuman-Josaphat_Tunnel	
Electronic_music	Elektronische_Musik	Электронная_музыка
East_Prussia	Ostpreußen	Восточная_Пруссия
	Gérard_Mulumba_Kalemba	
Bodio_Lomnago	Bodio_Lomnago	Бодьо-Ломнаго
Red_Ruthenia	Rotruthenien	Червонная_Русь
	Serbitz_(Treben)	
	Skulpturenpark_Katzow	
Chenango_County,_New_York	Chenango_County	Шенанго_(округ)
Winnebago_County,_Illinois	Winnebago_County_(Illinois)	Уиннебейго_(округ,_Иллинойс)
Pulse_compression	Pulskompressionsverfahren	
Cosmic_distance_ladder	Entfernungsmessung	Шкала_расстояний_в_астрономии
Biferno	Biferno	Биферно
	Babenbergerpassage	
Orchestral_percussion	Schlagwerk_(Musik)	
Wintersdorf	Wintersdorf_(Meuselwitz)	Винтерсдорф_(Мойзельвиц)
1960s	1960er	1960-е_годы
Baseband	Basisband	
Narva	Narva_(Stadt)	Нарва
Mascot_Records	Mascot_Records	
Nicole_Kidman	Nicole_Kidman	Кидман,_Николь
1963–64_Eredivisie	Eredivisie_1963/64	Чемпионат_Нидерландов_по_футболу_1963/1964
	Kreis_Altenburg	
Estonian_language	Estnische_Sprache	Эстонский_язык
	Schlosspark	
Scandicci	Scandicci	Скандиччи
Tuscany	Toskana	Тоскана
Albacete_Balompié	Albacete_Balompié	Альбасете_(футбольный_клуб)
Prospect_(Slovenian_band)	Prospect_(Band)	
Ronsdorf	Ronsdorf	
Philips	Philips	Philips
Moritz_Hohenbaum_van_der_Meer	Joseph_Anton_Franz_Hohenbaum_van_der_Meer	
Baron	Baron	Барон
Transformer	Transformator	Трансформатор
	Hermann_Wiegand	
Songs_from_the_Wood	Songs_from_the_Wood	Songs_from_the_Wood
Morsbach_(Wupper)	Morsbach_(Wupper)	Морсбах_(приток_Вуппера)
August_Strindberg	August_Strindberg	Стриндберг,_Август
New_York_(state)	New_York_(Bundesstaat)	Нью-Йорк_(штат)
	Kahlert	
Deutsche_Reichsbahn_(East_Germany)	Deutsche_Reichsbahn_(1945–1993)	Deutsche_Reichsbahn_(ГДР)
Forklift	Gabelstapler	Вилочный_погрузчик
Tecos_F.C.	CD_Estudiantes_Tecos	Эстудиантес_Текос
Coal	Kohle	Ископаемый_уголь
James_W._Denver	James_William_Denver	
Rock_(geology)	Gestein	Горная_порода
Career	Karriere	Карьера
Diane_Kurys	Diane_Kurys	Кюрис,_Диана
Hammer_mill	Eisenhammer	
The_Tonight_Show	The_Tonight_Show	The_Tonight_Show
	Franz-Josef_Dahlmann	
André_Greipel	André_Greipel	Грайпель,_Андре
Opéra_National_de_Lyon	Opéra_National_de_Lyon	
Leonard_Bernstein	Leonard_Bernstein	Бернстайн,_Леонард
Steve_Owen_(American_football)	Steve_Owen_(Footballspieler)	
People's_Association_for_Catholic_Germany	Volksverein_für_das_katholische_Deutschland	
2011	2011	2011_год
Secularism	Säkularismus	Секуляризм
Caragiale_Academy_of_Theatrical_Arts_and_Cinematography	Nationaluniversität_der_Theater-_und_Filmkunst_„Ion_Luca_Caragiale“	Национальный_университет_театра_и_кино_«И._Л._Караджале»
Lauf_an_der_Pegnitz	Lauf_an_der_Pegnitz	Лауф-ан-дер-Пегниц
September_22	22._September	22_сентября
Solar_energy	Sonnenenergie	Солнечная_энергия
July_9	9._Juli	9_июля
Hu_Chunhua	Hu_Chunhua	Ху_Чуньхуа
UCI_WorldTeam	UCI_WorldTeam	UCI_WorldTeam
	Vocal	
September_25	25._September	25_сентября
Convention_center	Kongresszentrum	Конференц-центр
Wii_Sports	Wii_Sports	Wii_Sports
German-National_Party	Deutschnationale_Bewegung	
Ear_(botany)	Ähre	Колос
Manual_(music)	Manual_(Musik)	Мануал_(орган)
	Aloys_Schulte	
Subject_(music)	Thema_(Musik)	Тема_(музыка)
Unrequited_love	Unerwiderte_Liebe	Неразделённая_любовь
Strelníky	Strelníky	
	Christiane_Jansen	
United_States_House_Committee_on_Homeland_Security	United_States_House_Committee_on_Homeland_Security	
Boutersem	Boutersem	Баутерсем
	Gegenstand	Вещь
International_System_of_Units	Internationales_Einheitensystem	Международная_система_единиц
Raismes	Raismes	Рем_(Нор)
Star_Fox	Star_Fox	Star_Fox_(серия_игр)
Broad_Front_(Uruguay)	Frente_Amplio_(Uruguay)	Широкий_фронт
	Frauen-Notruf	
Vertebrate	Wirbeltiere	Позвоночные
2013–14_DFB-Pokal_Frauen	DFB-Pokal_2013/14_(Frauen)	
1992–93_La_Liga	Primera_División_1992/93	Чемпионат_Испании_по_футболу_1992/1993
Berlin_University_of_the_Arts	Universität_der_Künste_Berlin	Берлинский_университет_искусств
	Sengbachtalsperre	
Grammy_Award	Grammy_Awards	Грэмми
	Ministerium_der_Justiz_des_Landes_Nordrhein-Westfalen	
Pour_le_Mérite	Pour_le_Mérite	Pour_le_Mérite
	Indusium	Индузий
Carnival	Karneval,_Fastnacht_und_Fasching	Карнавал
Buch_Abbey	Kloster_Buch	
Monarchy_of_Sweden	König_von_Schweden	
Thrasamund	Thrasamund	Тразамунд_(король_вандалов)
2012–13_Ascenso_MX_season	Liga_de_Ascenso_2012/13	Ассенсо_МХ_2012/2013
March_23	23._März	23_марта
	Oberlandesgerichtsrat	
Oriel_window	Erker	
