language,topic,event,r1_rater1,r1_rater2,r1_rater3,r2_rater1,r2_rater2,r2_rater3,r3_rater1,r3_rater2,r3_rater3
German,Q49773,Q574580,3,3,3.0,2,3,2.0,3,3,3.0
German,Q49773,Q7252,3,3,3.0,1,2,3.0,3,2,3.0
German,Q49773,Q191442,3,3,3.0,1,2,2.0,3,2,3.0
German,Q49773,Q2585403,3,3,3.0,3,3,3.0,2,2,2.0
German,Q49773,Q160637,3,2,,3,2,,3,3,
German,Q49773,Q1357740,2,3,,2,2,,2,2,
German,Q49773,Q1640562,3,3,,2,1,,3,2,
German,Q49773,Q180654,3,3,,2,2,,3,3,
German,Q49773,Q38964,3,3,,3,3,,3,3,
German,Q49773,Q2385364,3,3,,1,2,,2,2,
German,Q49773,Q1554076,3,2,,1,1,,2,2,
